[INFO ] 2018-03-19 17:44:14  - Uruchomienie aplikacji
[INFO ] 2018-03-19 17:54:50  - wybranie opcji tworzenia konta
[DEBUG] 2018-03-19 17:54:52  - utworzono konto
[INFO ] 2018-03-19 17:54:54  - wybranie opcji tworzenia konta
[DEBUG] 2018-03-19 17:54:58  - utworzono konto
[INFO ] 2018-03-19 17:54:59  - wybranie opcji szukania konta
[DEBUG] 2018-03-19 17:55:00  - znaleziono konto
[INFO ] 2018-03-19 17:55:03  - wybranie opcji wypłaty gotówki
[ERROR] 2018-03-19 17:55:06  - Brak wystarczających środków na koncie, operacja przerwana
[INFO ] 2018-03-19 17:55:11  - wybranie opcji wypłaty gotówki
[ERROR] 2018-03-19 17:55:14  - Brak konta o podanym id, operacja przerwana
[INFO ] 2018-03-19 17:55:17  - wybranie opcji wpłaty gotówki
[DEBUG] 2018-03-19 17:55:23  - Na konto wpłynęły nowe srodki
[INFO ] 2018-03-19 17:55:24  - wybranie opcji przelew
[ERROR] 2018-03-19 17:55:29  - Wprowadzono niepoprawny format danych 
[INFO ] 2018-03-19 17:55:31  - wybranie opcji przelew
[DEBUG] 2018-03-19 17:55:37  - Operacja przebiegła pomyślnie
[INFO ] 2018-03-19 17:55:38  - wybranie opcji sprawdź stan konta
[DEBUG] 2018-03-19 17:55:39  - Operacja przebiegła pomyślnie
[INFO ] 2018-03-19 17:55:40  - wybranie opcji sprawdź stan konta
[DEBUG] 2018-03-19 17:55:42  - Operacja przebiegła pomyślnie
[INFO ] 2018-03-19 17:55:45  - Zakończenie pracy aplikacji
